product_id,title,product_description,rating,ratings_count,initial_price,discount,discount_amount,quantity,total_amount,currency,category,seller_name
8376765,Lino Perros,Women Navy Blue Solid Backpack,3.8,15,3995,58.0,2317.1,1,3995,INR,backpacks,
9136281,Tommy Hilfiger,Unisex Navy Blue Striped Backpack,4.5,67,2899,35.0,1014.65,1,2899,INR,backpacks,
17633752,Lavie,Aries Women Pink Mini Backpack,4.4,226,2999,65.0,1949.35,1,2999,INR,backpacks,
1376949,F Gear,Unisex Navy & Grey Printed Burner Backpack,4.4,1052,1675,52.0,871.0,1,1675,INR,backpacks,
13939916,MYTRIDENT,Men Blue Solid Bath Robe,4.7,12,2899,17.0,492.83,1,2899,INR,bath-robe,
17198778,H&M,Beige & Tan Solid Stoneware Soap Dispenser,4.5,42,1399,,,1,1399,INR,bathroom-accessories,H &███Hen███ & █████████eta█████████████████████
19851824,AVI Living,Grey Solid 500 GSM Pure Cotton Bath Towel,4.0,5,1399,65.0,909.35,1,1399,INR,bath-towels,
18602872,My Room,Yellow & Green Floral 140 TC King Bedsheet with 2 Pillow Covers,4.7,10,2999,54.0,1619.46,1,2999,INR,bedsheets,
18602850,My Room,Ethnic Print 144 TC Super King Bedsheet with 2 Pillow Covers,4.5,22,2999,54.0,1619.46,1,2999,INR,bedsheets,
8961147,Story@home,Pink & White Floral 160 TC Cotton 1 King Bedsheet with 2 Pillow Covers,3.7,7,2199,53.0,1165.47,1,2199,INR,bedsheets,
8430275,MYTRIDENT,Sea Green Floral Flat 120 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,4.4,26,2199,46.0,1011.54,1,2199,INR,bedsheets,
18492504,ROMEE,Blue & Beige Conversational 160 TC King Bedsheet with 2 Pillow Covers,3.9,10,3499,65.0,2274.35,1,3499,INR,bedsheets,
13729978,DDecor,White & Brown Floral 350 TC Cotton 1 King Bedsheet with 2 Pillow Covers,3.6,15,1599,20.0,319.8,1,1599,INR,bedsheets,
