item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O06480,P208,3,17589,12
I00002,O02398,P361,4,33166,44
I00003,O03804,P459,3,28566,15
I00004,O00675,P119,3,33057,45
I00005,O01313,P200,3,31857,7
I00006,O06702,P180,4,41890,10
I00007,O03574,P425,3,39407,49
I00008,O07184,P086,4,46986,25
I00009,O01202,P304,2,46117,25
I00010,O01395,P439,2,25506,4
I00011,O00347,P133,2,47194,14
I00012,O00074,P376,2,34193,41
I00013,O05203,P361,4,13421,29
I00014,O05910,P242,2,31547,3
I00015,O07102,P236,4,39181,4
I00016,O03580,P313,5,46498,27
I00017,O05352,P167,3,41471,32
I00018,O05616,P031,2,48128,46
I00019,O09576,P063,1,27668,5
I00020,O02775,P119,2,35623,14
I00021,O05451,P272,3,43428,11
I00022,O02377,P393,3,24043,15
I00023,O06613,P311,1,4088,34
I00024,O09714,P117,1,42187,3
I00025,O09951,P242,3,15167,39
I00026,O09972,P025,3,16703,38
I00027,O04379,P114,3,22060,45
I00028,O04317,P264,4,47356,30
I00029,O00319,P174,1,45964,6
I00030,O04054,P329,2,31104,46
I00031,O07500,P279,3,3000,50
I00032,O08597,P090,3,26369,48
I00033,O05818,P100,4,5696,31
I00034,O03540,P096,1,41611,31
I00035,O08857,P470,2,2173,22
I00036,O00034,P039,1,11248,13
I00037,O06580,P460,5,7786,32
I00038,O04050,P485,2,33391,31
I00039,O08682,P236,4,533,39
I00040,O05087,P222,3,48874,2
I00041,O00315,P004,2,20488,36
I00042,O02271,P350,2,42698,15
I00043,O05109,P440,3,27005,44
I00044,O06757,P342,3,8232,28
I00045,O01051,P188,1,46342,25
I00046,O02316,P059,3,32717,49
I00047,O00495,P334,5,13228,16
I00048,O09023,P019,4,1423,29
I00049,O03427,P149,2,11937,20
I00050,O09571,P484,2,24528,40
I00051,O02035,P460,5,14060,15
I00052,O03506,P429,1,2432,29
I00053,O09397,P151,2,10003,1
I00054,O09321,P155,1,49082,37
I00055,O00264,P167,2,40970,0
