order_id,customer_id,order_date,status,region_code
O00001,C858,2025-07-19 17:34:59,RETURNED,East
O00002,C655,2026-03-21 13:55:00,CANCELLED,South
O00003,C725,2026-06-24 10:53:31,CANCELLED,West
O00004,C164,2025-12-07 14:19:51,DELIVERED,South
O00005,C783,2024-09-01 21:52:39,CANCELLED,North
O00006,C657,2025-06-05 11:22:26,PLACED,East
O00007,C735,2025-08-16 14:38:09,CANCELLED,East
O00008,C612,2025-05-21 19:46:03,SHIPPED,West
O00009,C269,2026-03-23 13:50:22,SHIPPED,East
O00010,C639,2025-07-07 14:14:48,RETURNED,South
O00011,C476,2025-09-01 23:33:35,SHIPPED,West
O00012,C799,2026-03-08 00:39:04,DELIVERED,South
O00013,C503,2025-09-02 20:38:02,CANCELLED,East
O00014,C256,2025-05-28 19:44:21,PLACED,East
O00015,C229,2025-12-20 12:55:48,DELIVERED,East
O00016,C766,2026-02-03 16:23:54,CANCELLED,North
O00017,C166,2025-12-18 17:07:55,PLACED,North
O00018,C484,2024-11-10 04:31:27,RETURNED,South
O00019,C468,2025-01-21 04:19:28,CANCELLED,North
O00020,C824,2025-03-21 20:35:32,RETURNED,East
O00021,C685,2025-01-05 17:09:47,DELIVERED,North
O00022,C108,2024-07-23 11:10:20,RETURNED,South
O00023,C607,2025-12-01 16:46:02,RETURNED,West
O00024,C254,2026-04-05 14:39:47,CANCELLED,West
O00025,C417,2026-04-26 23:06:36,DELIVERED,South
O00026,C371,2026-05-08 06:04:30,SHIPPED,South
O00027,C048,2024-08-15 11:56:58,RETURNED,East
O00028,C531,2025-10-23 14:51:19,DELIVERED,West
O00029,C991,2024-12-11 22:30:18,DELIVERED,East
O00030,C722,2024-12-05 10:46:09,PLACED,South
O00031,C666,2026-05-11 07:08:08,PLACED,East
O00032,Unknown,2025-08-29 09:36:38,SHIPPED,North
O00033,C340,2025-07-20 04:24:53,SHIPPED,East
O00034,C403,2024-07-15 07:12:14,PLACED,East
O00035,C236,2026-02-26 08:27:00,DELIVERED,North
O00036,C165,2026-05-11 12:18:38,CANCELLED,East
O00037,C872,2025-08-15 03:19:48,RETURNED,West
O00038,C876,2025-12-16 06:59:46,SHIPPED,East
O00039,C106,2025-03-22 09:31:27,DELIVERED,South
O00040,C596,2024-10-17 16:50:58,RETURNED,East
O00041,C769,2025-04-14 05:13:02,SHIPPED,North
O00042,C999,2026-02-21 11:08:58,RETURNED,West
O00043,C990,2025-07-07 05:34:54,PLACED,East
O00044,C247,2024-10-08 07:55:02,PLACED,East
O00045,C184,2025-09-18 11:18:04,PLACED,West
O00046,C020,2025-03-13 09:37:30,CANCELLED,East
O00047,C333,2025-08-12 07:36:36,PLACED,West
O00048,C559,2025-03-03 23:34:31,DELIVERED,North
O00049,C525,2026-07-07 18:03:00,RETURNED,North
O00050,C629,2025-03-19 15:31:57,DELIVERED,North
O00051,C687,2024-08-19 06:57:18,DELIVERED,North
O00052,C196,2026-04-06 10:19:35,PLACED,South
O00053,C058,2025-08-24 16:38:03,DELIVERED,West
O00054,C693,2024-07-30 04:51:59,DELIVERED,South
O00055,C961,2024-11-29 15:47:36,CANCELLED,East
O00056,Unknown,2025-07-01 17:53:04,CANCELLED,North
O00057,C180,2026-02-24 00:11:07,PLACED,South
O00058,C598,2026-04-09 03:29:34,PLACED,East
O00059,C193,2026-02-16 20:11:21,SHIPPED,West
O00060,C055,2025-03-17 09:56:59,DELIVERED,South
O00061,C106,2026-06-23 21:59:11,DELIVERED,North
O00062,C732,2024-07-10 15:37:17,DELIVERED,West
O00063,C850,2024-07-20 04:22:55,PLACED,North
O00064,C610,2025-04-08 18:47:00,CANCELLED,East
O00065,C726,2026-04-01 22:48:29,SHIPPED,West
O00066,C105,2025-09-06 01:41:10,PLACED,South
O00067,C894,2025-07-13 14:08:06,PLACED,West
O00068,C670,2024-08-07 11:39:57,PLACED,West
O00069,C961,2025-10-25 09:43:58,CANCELLED,East
O00070,C425,2026-06-27 06:10:49,PLACED,South
O00071,C398,2025-06-03 16:03:28,CANCELLED,East
O00072,C999,2024-11-14 12:05:11,DELIVERED,West
